,,,,,,,,,,,,,,,朝主菜,,昼主菜,,夕主菜,
,１日分献立表,,,国の標準栄養価一覧表のコード,,,,,,,,,,,朝副菜,,昼副菜①,,夕副菜①,
,2026年1月31日,,,,,,,,,,,,,,朝汁物,,昼副菜②,,夕副菜②,
,事業者名称,,,,,,,,１日分の野菜量 ,314.0g,Ｐ：Ｆ：Ｃ ,15:32:50,,,,,昼汁物,,夕汁物,
,,,,,,,,,,,,,,,,,,,,
,,１日分献立,,,,,,,,,,,,備考,総量,カット無,カット,カット,カット,発注量
,,献立,レシピ,食品,,１人分可食量（ｇ）,ｴﾈﾙｷﾞｰ(kcal),たんぱく質(g),脂質(g),炭水化物(g),ナトリウム（㎎）,食塩(g),野菜量(g),,,,,,,
,朝食,11929,スクランブルエッグ【朝】,,,,,,,,,,,,,,,,,
,,,40224,ぶどうパン,,,,,,,,,,,,,,,,
,,,,41007,ぶどうパン,60.00, 158 ,4.9,2.1,29.2, 246 ,0.6,,,,,,,,
,,,,,レシピ合計,, 158 ,4.9,2.1,29.2, 246 ,0.6,0.0,,,,,,,
,,,43823,スクランブルエッグ,,⬇︎合計したもの,,,,,,,,,,,,,,
,,,,12004,【12345】鶏卵　全卵　生,50.00, 76 ,6.2,5.2,0.2, 70 ,0.2,,,50,,,,,
,,,,11186,＜畜肉類＞ぶた　［ソーセージ類］　ウインナーソーセージ,15.00, 48 ,2.0,4.3,0.5, 110 ,0.3,,,15,,,,,
,,,,14006,（植物油脂類）　調合油,2.00, 18 ,0.0,2.0,0.0, 0 ,0.0,,,2,,,,,
,,,,17012,＜調味料類＞（食塩類）食塩,0.30, 0 ,0.0,0.0,0.0, 117 ,0.3,,,0.3,,,,,
,,,,30187,黒胡椒　あらびき,0.10, 0 ,0.0,0.0,0.1, 0 ,0.0,,,0.1,,,,,
,,,,,レシピ合計,, 142 ,8.2,11.5,0.8, 297 ,0.8,0.0,,,,,,,
,,,43824,ブロッコリーサラダ,,,,,,,,,,,,,,,,
,,,,10097,＜魚類＞（かつお類）　缶詰　油漬　フレーク,10.00, 29 ,1.9,2.4,0.0, 35 ,0.1,,,10,,,,,
,,,,30313,冷）ブロッコリー,20.00, 5 ,0.7,0.1,0.9, 3 ,0.0,,,20,,,,,
,,,,30214,冷）カリフラワー,20.00, 5 ,0.5,0.0,1.0, 2 ,0.0,,,20,,,,,
,,,,33438,SSKノンオイル青じそ1L[045]＊＊＊,6.00, 6 ,0.2,0.0,1.2, 163 ,0.4,,,6,,,,,
,,,,,レシピ合計,, 45 ,3.3,2.5,3.1, 203 ,0.5,0.0,,,,,,,
,,,43825,クリームスープ,,,,,,,,,,,,,,,,
,,,,02006,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生,20.00, 27 ,0.2,0.0,6.4, 2 ,0.0,,,20,,,,,
,,,,06212,（にんじん類）　にんじん　根　皮つき　生,10.00, 4 ,0.1,0.0,0.9, 3 ,0.0,10.0,,10,,,,,
,,,,06153,（たまねぎ類）　たまねぎ　りん茎　生,10.00, 4 ,0.1,0.0,0.9, 0 ,0.0,10.0,,10,,,,,
,,,,06025,（えんどう類）　グリンピース　冷凍,3.00, 3 ,0.2,0.0,0.5, 3 ,0.0,3.0,,3,,,,,
,,,,13003,＜牛乳及び乳製品＞（液状乳類）　普通牛乳,10.00, 7 ,0.3,0.4,0.5, 4 ,0.0,,,10,,,,,
,,,,30278,クリームシチューの素,6.00, 29 ,0.5,1.0,3.6, 270 ,0.7,,,6,,,,,
,,,,,レシピ合計,, 74 ,1.4,1.4,12.8, 282 ,0.7,23.0,,,,,,,
,,,,ヨーグルト,,,,,,,,,,,,,,,,
,,,,,ヨーグルト,,,,,,,,,,,,,,,
,,,,,レシピ合計,, 0 ,0.0,0.0,0.0, 0 ,0.0,0.0,,,,,,,
,,,朝食合計,,,, 419 ,17.8,17.5,45.9," 1,028 ",2.6,23.0,,,,,,,
,昼食,11931,たらの煮つけ,,,,,,,,,,,,,,,,,
,,,23952,ごはん150g,,,,,,,,,,,,,,,,
,,,,01083,こめ　［水稲穀粒］　精白米　うるち米,70.50, 252 ,4.3,0.6,54.7, 1 ,0.0,,,,,,,,
,,,,,レシピ合計,, 252 ,4.3,0.6,54.7, 1 ,0.0,0.0,,,,,,,
,,,43830,たらの煮つけ,,,,,,,,,,,,,,,,
,,,,10199,＜魚類＞（たら類）　すけとうだら　生,60.00, 46 ,10.4,0.2,0.0, 60 ,0.2,,,60,,,,,
,,,,06103,（しょうが類）　しょうが　根茎　おろし,5.00, 2 ,0.0,0.0,0.3, 0 ,0.0,5.0,,5,,,,,
,,,,16023,＜アルコール飲料類＞（混成酒類）合成清酒,10.00, 11 ,0.0,0.0,0.5, 1 ,0.0,,,10,,,,,
,,,,30190,鰹の素（桜印）,0.50, 2 ,0.4,0.0,0.0, 7 ,0.0,,,0.5,,,,,
,,,,03003,（砂糖類）　車糖　上白糖,1.00, 4 ,0.0,0.0,1.0, 0 ,0.0,,,1,,,,,
,,,,17007,＜調味料類＞（しょうゆ類）こいくちしょうゆ,5.00, 4 ,0.4,0.0,0.5, 285 ,0.7,,,5,,,,,
,,,,06160,チンゲンサイ　葉　冷,20.00, 2 ,0.1,0.0,0.4, 6 ,0.0,20.0,,20,,,,,
,,,,08039,しいたけ　生しいたけ　菌床栽培　冷,10.00, 2 ,0.3,0.0,0.6, 0 ,0.0,10.0,,10,,,,,
,,,,32181,味塩こしょう[020]＊＊＊,0.20, 0 ,0.0,0.0,0.0, 53 ,0.1,,,0.2,,,,,
,,,,14008,（植物油脂類）　なたね油,1.00, 9 ,0.0,1.0,0.0, 0 ,0.0,,,1,,,,,
,,,,,レシピ合計,, 82 ,11.6,1.2,3.3, 412 ,1.0,35.0,,,,,,,
,,,43831,揚げ野菜の三杯酢,,,,,,,,,,,,,,,,
,,,,06317,れんこん　根茎　冷,30.00, 20 ,0.6,0.0,4.7, 7 ,0.0,30.0,,30,,,,,
,,,,06245,（ピーマン類）　青ピーマン　果実　冷,20.00, 4 ,0.2,0.0,1.0, 0 ,0.0,20.0,,20,,,,,
,,,,14006,（植物油脂類）　調合油,5.00, 46 ,0.0,5.0,0.0, 0 ,0.0,,,5,,,,,
,,,,17015,＜調味料類＞（食酢類）穀物酢,3.00, 1 ,0.0,0.0,0.1, 0 ,0.0,,,3,,,,,
,,,,17021,＜調味料類＞（だし類）かつお・昆布だし,10.00, 0 ,0.0,0.0,0.0, 3 ,0.0,,,10,,,,,
,,,,03003,（砂糖類）　車糖　上白糖,1.00, 4 ,0.0,0.0,1.0, 0 ,0.0,,,1,,,,,
,,,,17007,＜調味料類＞（しょうゆ類）こいくちしょうゆ,1.00, 1 ,0.1,0.0,0.1, 57 ,0.1,,,1,,,,,
,,,,05018,ごま　いり,0.30, 2 ,0.1,0.2,0.1, 0 ,0.0,,,0.3,,,,,
,,,,,レシピ合計,, 78 ,1.0,5.2,7.0, 67 ,0.1,50.0,,,,,,,
,,,43832,小松菜の和え物,,,,,,,,,,,,,,,,
,,,,06086,こまつな　葉　冷,30.00, 4 ,0.5,0.1,0.7, 5 ,0.0,30.0,,30,,,,,
,,,,06214,（にんじん類）　にんじん　根　皮むき　冷,10.00, 4 ,0.1,0.0,0.9, 3 ,0.0,10.0,,10,,,,,
,,,,04040,だいず　［豆腐・油揚げ類］　油揚げ　冷,10.00, 41 ,2.3,3.4,0.0, 0 ,0.0,,,10,,,,,
,,,,03003,（砂糖類）　車糖　上白糖,1.00, 4 ,0.0,0.0,1.0, 0 ,0.0,,,1,,,,,
,,,,17008,＜調味料類＞（しょうゆ類）うすくちしょうゆ,2.00, 1 ,0.1,0.0,0.2, 126 ,0.3,,,2,,,,,
,,,,,レシピ合計,, 54 ,3.0,3.5,2.8, 134 ,0.3,40.0,,,,,,,
,,,43833,清汁（そうめん・かまぼこ）,,,,,,,,,,,,,,,,
,,,,01044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,10.00, 13 ,0.4,0.0,2.6, 9 ,0.0,,,10,,,,,
,,,,06134,（だいこん類）　だいこん　根　皮むき　生,20.00, 4 ,0.1,0.0,0.8, 3 ,0.0,20.0,,20,,,,,
,,,,10379,＜水産練り製品＞蒸しかまぼこ,5.00, 5 ,0.6,0.0,0.5, 50 ,0.1,,,5,,,,,
,,,,06278,（みつば類）　糸みつば　葉　生,3.00, 0 ,0.0,0.0,0.1, 0 ,0.0,3.0,,3,,,,,
,,,,30296,花かつおだしパック,0.10, 0 ,0.1,0.0,0.0, 1 ,0.0,,,0.1,,,,,
,,,,17012,＜調味料類＞（食塩類）食塩,0.20, 0 ,0.0,0.0,0.0, 78 ,0.2,,,0.2,,,,,
,,,,17007,＜調味料類＞（しょうゆ類）こいくちしょうゆ,2.00, 1 ,0.2,0.0,0.2, 114 ,0.3,,,2,,,,,
,,,,30226,料理酒,3.00, 3 ,0.0,0.0,0.5, 27 ,0.1,,,3,,,,,
,,,,30398,味の素　ハイミー,0.10, 0 ,0.0,0.0,0.0, 12 ,0.0,,,0.1,,,,,
,,,,,レシピ合計,, 26 ,1.4,0.0,4.7, 294 ,0.7,23.0,,,,,,,
,,,40210,デザート(果物),,,,,,,,,,,,,,,,
,,,,41003,デザート(果物),61.00, 24 ,0.3,0.1,7.1, 1 ,0.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,レシピ合計,, 24 ,0.3,0.1,7.1, 1 ,0.0,0.0,,,,,,,
,,,昼食合計,,,, 516 ,21.6,10.6,79.6, 909 ,2.1,148.0,,,,,,,
,昼間食,40210,昼間食,,,,,,,,,,,,,,,,,
,,,40210,おやつ,,,,,,,,,,,,,,,,
,,,,40210,おやつ平均値,51.00, 58 ,1.4,1.6,9.6, 24 ,0.1,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,レシピ合計,, 58 ,1.4,1.6,9.6, 24 ,0.1,0.0,,,,,,,
,,,00245,飲み物,,,,,,,,,,,,,,,,
,,,,13003,飲み物平均値,105.00, 81 ,3.8,4.1,8.3, 41 ,0.1,,,,,,,,
,,,,,レシピ合計,, 81 ,3.8,4.1,8.3, 41 ,0.1,0.0,,,,,,,
,,,昼間食合計,,,, 139 ,5.2,5.7,17.9, 65 ,0.2,0.0,,,,,,,
,夕食,11930,鶏肉のからあげ(おろしかけ),,,,,,,,,,,,,,,,,
,,,23952,ごはん150g,,,,,,,,,,,,,,,,
,,,,01083,こめ　［水稲穀粒］　精白米　うるち米,70.50, 252 ,4.3,0.6,54.7, 1 ,0.0,,,,,,,,
,,,,,レシピ合計,, 252 ,4.3,0.6,54.7, 1 ,0.0,0.0,,,,,,,
,,,43826,鶏肉のからあげ(おろしかけ),,,,,,,,,,,,,,,,
,,,,11221,＜鳥肉類＞にわとり　［若鶏肉］　もも　皮つき　生,70.00, 143 ,11.6,9.9,0.0, 43 ,0.1,,,70,,,,,
,,,,30235,清酒2級,2.00, 2 ,0.0,0.0,0.1, 0 ,0.0,,,2,,,,,
,,,,17069,＜香辛料類＞しょうが　おろし,0.50, 0 ,0.0,0.0,0.0, 3 ,0.0,,,0.5,,,,,
,,,,17007,＜調味料類＞（しょうゆ類）こいくちしょうゆ,3.00, 2 ,0.2,0.0,0.3, 171 ,0.4,,,3,,,,,
