提供文書,項目,項目の説明
★1  説明付き 訪問歯科診療治療内容説明書.pdf,連絡事項,プルダウン＋自由入力
〃,療養上の注意点,プルダウン＋自由入力
02_歯在管管理計画書_実例.pdf,疾患名,患者マスタから引っ張る。
〃,服薬,患者マスタから引っ張る
〃,肺炎の既往,患者マスタから引っ張る
〃,低栄養リスク,患者マスタから引っ張る
〃,食事形態,患者マスタの内容をそのまま丸っと反映
〃,管理方針・治療方針,プルダウン＋自由入力
〃,,
03_訪問歯科衛生指導説明書_実例.pdf,口腔の状況（その他）,自由記述
〃,注意事項（食生活の改善等）,プルダウン＋自由入力
〃,介護職員への技術的助言等の内容,"以下の項目を設置

☑ 入所者のリスクに応じた口腔清掃等の実施
☑ 口腔清掃にかかる知識、技術の習得の必要性
☑ 摂食嚥下等の口腔機能の改善のための取組の実施
☑ 食事の状態の確認、食形態等の検討の必要性
☑ 現在の取組の継続
☑ その他（自由入力）"
04_口腔機能精密検査表_実例.pdf,検査値,数値を入力。「該当基準」に当てはまるときは「該当」にチェック。
〃,,「該当項目」の合計を自動計算
101_口腔機能管理計画書_実例.pdf,全身の状態,"基礎疾患・服用薬剤・肺炎の既往・栄養状態・体重の変化・食事形態は患者マスタからコピー。
「5 体重の変化、7 食欲あり / なし」 はマスタにないので手入力"
〃,口腔機能の状態,数値は「口腔機能精密検査表」から引用する。
〃,管理方針・目標・治療等予定,プルダウン＋自由入力
50_口腔衛生管理加算（施設に渡す文書）_提供文書.pdf,要介護,患者マスタから入力
,病名,患者マスタの基礎疾患から表示
,日常生活自立度,障害高齢者 / 認知症高齢者　 ➡︎ 自由記入
